Viñegra de Moraña - Ávila;ÁVILA;AECL-002;Navatour, S.L.;Regular
Navalguijo - El Barco de Ávila;ÁVILA;AECL-004;Pedro Pedro Autocares, S.L.;Regular
Neila de San Miguel - El Barco de Ávila;ÁVILA;AECL-005;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
El Barquillo - El Barco de Ávila;ÁVILA;AECL-005;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Neila de San Miguel - El Barco de Ávila, por Junciana;ÁVILA;AECL-005;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Cisla - Pascualgrande;ÁVILA;AECL-008;Navatour, S.L.;Regular
Villalaco - Astudillo;PALENCIA;AECL-049;Linecar, S.A.;Regular
Retortillo - El Burgo de Osma, por la Rasa;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Regular
Retortillo - El Burgo de Osma, por Valdenebro;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Regular
Alcoba de la Torre - Langa de Duero;SORIA;AECL-082;Hijos de Ángel Arribas, S.L.U.;Regular
Alcubilla de Avellaneda - San Esteban de Gormaz;SORIA;AECL-082;Hijos de Ángel Arribas, S.L.U.;Regular
Tapioles - Villalpando;ZAMORA;AECL-102;Herederos de A. Tamame, S.A.;Regular
Moraleja de Sayago - Zamora;ZAMORA;AECL-103;Viamar Autocares, S.L.U.;Regular
Venialbo Toro;ZAMORA;AECL-104;Herederos de A. Tamame, S.A.;Regular
Becerril del Carpio - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Regular
Santervás de la Vega - Palencia, por Población y Lagartos;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Regular
Santervás de la Vega - Palencia, por Calzadilla;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Regular
Santervás de la Vega - Palencia, por San Martín del Valle;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Regular
Santervás de la Vega - Palencia, por Quintanadiez de la Vega;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Regular
Monzón de Campos - Palencia;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Regular
Sotillo del Rincón - Soria;SORIA;VACL-005;Sanz Tierno Autocares, S.L.;Regular
Ciria - Soria;SORIA;VACL-006;Sanz Tierno Autocares, S.L.;Regular
Palencia - Villaverde de la Peña;PALENCIA;VACL-009;Abagón, S.L.;Regular
Arcos de Jalón - Soria;SORIA;VACL-011;Hijos de Angel Arribas, S.L.U.;Regular
Soria Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Regular
Ávila - Riofrío;ÁVILA;VACL-013;Autobuses Hermanos Rodríguez, S.A.;Regular
Ávila - Aldea del Rey Niño - Ávila;ÁVILA;VACL-013;Autobuses Hermanos Rodríguez, S.A.;Regular
Aguilar de Campoo - Barruelo de Santullán;PALENCIA;VACL-016;Autocares Donato, S.L.;Regular
Fuentesaúco - Toro;ZAMORA;VACL-021;Autocares Hermanos Martín Martin, S.L.;Regular
Madrigal de las Altas Torres - Ávila, por Sanchidrián;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Madrigal de las Altas Torres - Ávila, por Tiñosillos;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Arévalo - Ávila, por Pajares de Adaja;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Ávila - Magazos;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Arévalo - Ávila, por Tiñosillos;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Magazos - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
San Esteban de Zapardiel - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Cabizuela - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Cabizuela - Hernansancho - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Langa de Duero - Soria;SORIA;VACL-031;Transportes Hernández Palacio, S.A. (THERPASA);Regular
Berlanga de Duero - Soria, por Rioseco y Torreandaluz;SORIA;VACL-031;Transportes Hernández Palacio, S.A. (THERPASA);Regular
Berlanga de Duero - Soria, por Osona;SORIA;VACL-031;Transportes Hernández Palacio, S.A. (THERPASA);Regular
Soria - Golmayo;SORIA;VACL-031;Transportes Hernández Palacio, S.A. (THERPASA);Regular
Mirueña de los Infanzones - San Pedro del Arroyo;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Regular
Mamblas - Chaherrero;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Regular
Ávila - Horcajo de las Torres;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Regular
Navalperal de Pinares - El Tiemblo;ÁVILA;VACL-036;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Segovia - Ávila;ÁVILA;VACL-041;Avanza Líneas Interurbanas, S.L.;Regular
Segovia - Ávila, por Navas de San Antonio;ÁVILA;VACL-041;Avanza Líneas Interurbanas, S.L.;Regular
Segovia - Vegas de Matute - Ávila;ÁVILA;VACL-041;Avanza Líneas Interurbanas, S.L.;Regular
Casarejos - Soria;SORIA;VACL-045;Automóviles La Serrana, S.L.;Regular
Soria Duruelo de la Sierra;SORIA;VACL-045;Automóviles La Serrana, S.L.;Regular
Covaleda - Duruelo de la Sierra;SORIA;VACL-045;Automóviles La Serrana, S.L.;Regular
Fuentesaúco - Zamora, con salida en Villaescusa;ZAMORA;VACL-065;Autocares Siga Hermanos, S.L.;Regular
Cuelgamures - El Piñero;ZAMORA;VACL-065;Autocares Siga Hermanos, S.L.;Regular
Fermoselle - Zamora, por Fadón;ZAMORA;VACL-090;Herederos de A. Tamame, S.A.;Regular
Fermoselle - Zamora, por Piñuel;ZAMORA;VACL-090;Herederos de A. Tamame, S.A.;Regular
Salce (ZA) - Almeida - Zamora, por Fresno;ZAMORA;VACL-090;Herederos de A. Tamame, S.A.;Regular
Almeida - Zamora;ZAMORA;VACL-090;Herederos de A. Tamame, S.A.;Regular
Villadepera - Zamora;ZAMORA;VACL-127;Calles y Vara Services, S.L.;Regular
Villardiegua de la Ribera - Zamora;ZAMORA;VACL-127;Calles y Vara Services, S.L.;Regular
Muga de Sayago - Zamora;ZAMORA;VACL-127;Calles y Vara Services, S.L.;Regular
Muga de Sayago - Pino del Oro - Zamora;ZAMORA;VACL-127;Calles y Vara Services, S.L.;Regular
Losacio El Puente de la Estrella;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Bercianos de Aliste - Alcañices;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Ribadelago - Zamora;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
San Martín del Pedroso - Zamora;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Villardeciervos - Zamora, por Villarino del Cebal;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Uña de Quintana - Venta de Villanueva;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Ayoo de Vidriales - Zamora, por Rosinos;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Bercianos Tardemezar;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Vezdemarbán - Zamora;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Fresno - Saldaña;PALENCIA;VACL-009;Abagón, S.L.;Regular
Villarmienzo - Palencia;PALENCIA;VACL-009;Abagón, S.L.;Regular
Maello - Velayos - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Regular
Zamora Puebla de Sanabria;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Regular
Báscones de Ebro - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Gama - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Demanda
Matabuena - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Menaza - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Nava de Santullán - Barruelo de Santullán;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Pozancos - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Demanda
Salcedillo - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Salcedillo - Barruelo de Santullán;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Valberzoso - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Valberzoso - Barruelo de Santullán;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Valdegama - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Demanda
Vallespinoso - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Demanda
Villabellaco - Barruelo de Santullán;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Villaescusa de las Torres - Aguilar de Campoo;PALENCIA;AECL-112;Autocares Cabria, S.L.;Demanda
Villanueva de Henares - Aguilar de Campoo;PALENCIA;VACL-016;Autocares Donato, S.L.;Demanda
Moveros - Alcañices;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Demanda
Alpanseque - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Borchicayada - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Centenera - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Momblona - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Romanillos - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Valdespina - Almazán;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Arbujuelo - Arcos de Jalón;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Benamira - Arcos de Jalón;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Iruecha Arcos de Jalón;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Mezquetillas - Arcos de Jalón;SORIA;VACL-011;Hijos de Angel Arribas, S.L.U.;Demanda
Puebla de Eca - Arcos de Jalón;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
Valtueña Arcos de Jalón;SORIA;VACL-011;Hijos de Ángel Arribas, S.L.U.;Demanda
